City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
296,nuuk,64.1835,-51.7216,-2.66,86,20,2.06,GL,1712889365
297,luderitz,-26.6481,15.1594,23.24,39,0,3.46,NA,1712889365
298,mangrol,21.1167,70.1167,25.52,77,2,1.87,IN,1712889365
299,kourou,5.1552,-52.6478,27.03,94,63,2.39,GF,1712889365
300,kuroishi,40.6389,140.5922,17.65,51,0,2.06,JP,1712889365
301,banda aceh,5.5577,95.3222,30.69,63,21,3.21,ID,1712889365
302,mana,5.6592,-53.7767,25.44,91,96,3.86,GF,1712889365
303,pakxan,18.3778,103.6601,35.16,42,18,2.01,LA,1712889365
304,lihue,21.9789,-159.3672,23.58,87,100,0.0,US,1712889365
305,isabela,6.7085,121.9711,30.03,66,97,2.65,PH,1712889365
306,akureyri,65.6835,-18.0878,0.96,86,75,4.63,IS,1712889365
307,polyarnyy,69.1989,33.4478,-1.41,86,100,9.2,RU,1712889365
308,villa bruzual,9.3328,-69.1208,27.79,52,0,4.44,VE,1712889366
309,castillos,-34.1667,-53.8333,16.73,55,87,2.74,UY,1712889366
310,badiyah,22.45,58.8,29.15,31,98,1.96,OM,1712889366
311,ambon,-3.6954,128.1814,29.08,74,40,2.06,ID,1712889366
312,amga,60.8953,131.9608,0.51,99,100,3.63,RU,1712889366
313,gulu,2.7746,32.299,18.88,91,86,2.32,UG,1712889273
314,undurkhaan,47.3194,110.6556,14.51,27,100,7.02,MN,1712889366
315,bocaiuva,-17.1078,-43.815,23.84,89,42,2.51,BR,1712889366
316,arraial do cabo,-22.9661,-42.0278,24.85,85,40,2.09,BR,1712889366
317,rongelap,11.1635,166.8941,26.74,75,100,8.6,MH,1712889366
318,tosontsengel,48.7567,98.2839,5.47,38,59,4.03,MN,1712889366
319,ilulissat,69.2167,-51.1,-6.99,93,100,0.0,GL,1712889366
320,lesosibirsk,58.2358,92.4828,-5.67,70,100,3.31,RU,1712889366
321,ismailia,30.6043,32.2723,16.76,75,0,2.49,EG,1712889367
322,merritt,50.1123,-120.7942,6.28,84,100,2.22,CA,1712889367
323,port angeles,48.1181,-123.4307,9.81,79,75,2.06,US,1712889367
324,ugoofaaru,5.6667,73.0,29.37,74,28,2.08,MV,1712889367
325,launceston,-41.45,147.1667,18.22,55,75,3.6,AU,1712889367
326,kiunga,-6.1219,141.2906,26.56,84,100,0.99,PG,1712889367
327,jerez de garcia salinas,22.65,-103.0,20.09,15,70,4.23,MX,1712889367
328,dzhalagash,45.0833,64.6667,8.33,47,95,9.2,KZ,1712889367
329,iskitim,54.6366,83.3045,-4.25,58,7,4.2,RU,1712889367
330,nogliki,51.8333,143.1667,3.52,88,12,5.36,RU,1712889367
331,yamethin,20.4333,96.15,35.27,25,1,3.45,MM,1712889368
332,mata-utu,-13.2816,-176.1745,29.6,77,21,5.23,WF,1712889223
333,la sarre,48.8002,-79.1996,7.36,93,100,5.89,CA,1712889368
334,klaksvik,62.2266,-6.589,8.51,90,65,12.22,FO,1712889368
335,isangel,-19.55,169.2667,28.06,83,75,3.09,VU,1712889368
336,utrik,11.2278,169.8474,26.71,74,100,8.61,MH,1712889368
337,trevelin,-43.0858,-71.4639,5.35,79,17,0.42,AR,1712889368
338,olinda,-8.0089,-34.8553,28.85,79,40,2.57,BR,1712889142
